rank	AS	ZV	H	HD	QD	zone	off	event
1	1.668081	1.236240	0.215921	0.000000	0.008970	53	452984832	regime
2	1.486419	1.019410	0.233505	0.000000	0.001432	47	402653184	regime
3	1.308945	1.012060	0.148442	0.000000	0.000895	72	612368384	regime
4	1.153444	0.741360	0.206042	0.000000	0.006316	54	461373440	regime
5	1.142476	0.776970	0.182753	0.000000	0.004446	50	427819008	regime
6	1.135647	0.634060	0.250794	0.000000	0.008477	88	746586112	regime
7	1.132544	0.686360	0.223092	0.000000	0.003508	49	419430400	regime
8	1.088446	0.720780	0.183833	0.000000	0.004245	76	645922816	regime
9	1.029952	0.553690	0.238131	0.000000	0.007888	69	587202560	regime
10	0.962660	0.400440	0.231110	0.000000	0.006570	89	754974720	stable
11	0.935413	0.530910	0.202252	0.000000	0.005816	23	201326592	regime
12	0.922314	0.497450	0.212432	0.000000	0.004229	46	394264576	regime
13	0.905962	0.000000	0.202981	0.000000	0.005364	0	8388608	boot
14	0.901835	0.390580	0.205628	0.000000	0.004329	133	1124073472	stable
15	0.894124	0.370160	0.211982	0.000000	0.006516	113	956301312	stable
16	0.885065	0.334500	0.225282	0.000000	0.006861	91	771751936	stable
17	0.880658	0.294240	0.243209	0.000000	0.008175	92	780140544	stable
18	0.879453	0.342380	0.218537	0.000000	0.007310	119	1006632960	stable
19	0.871345	0.454990	0.208177	0.000000	0.004491	22	192937984	regime
20	0.866878	0.351150	0.207864	0.000000	0.006068	110	931135488	stable
21	0.863871	0.355040	0.204415	0.000000	0.006069	70	595591168	stable
22	0.860566	0.458730	0.200918	0.000000	0.005546	93	788529152	regime
23	0.850085	0.354680	0.197703	0.000000	0.004765	90	763363328	stable
24	0.848802	0.370090	0.189356	0.000000	0.005027	55	469762048	stable
25	0.835137	0.330770	0.202183	0.000000	0.004601	16	142606336	stable
26	0.827788	0.353310	0.187239	0.000000	0.004157	86	729808896	stable
27	0.824051	0.298900	0.212575	0.000000	0.006153	4	41943040	stable
28	0.820095	0.413910	0.153092	0.000000	0.002503	52	444596224	stable
29	0.816412	0.349250	0.183581	0.000000	0.004155	14	125829120	stable
30	0.780634	0.298000	0.191317	0.000000	0.005708	3	33554432	stable
31	0.779454	0.255110	0.212172	0.000000	0.006323	120	1015021568	stable
32	0.773137	0.257260	0.207938	0.000000	0.006260	13	117440512	stable
33	0.772629	0.283810	0.194409	0.000000	0.005148	62	528482304	stable
34	0.768047	0.303690	0.182179	0.000000	0.003599	108	914358272	stable
35	0.767811	0.247220	0.210295	0.000000	0.005080	112	947912704	stable
36	0.757848	0.281740	0.188054	0.000000	0.004706	98	830472192	stable
37	0.756800	0.277650	0.189575	0.000000	0.004281	111	939524096	stable
38	0.750025	0.269380	0.190323	0.000000	0.004262	51	436207616	stable
39	0.743452	0.251230	0.196111	0.000000	0.005719	26	226492416	stable
40	0.735247	0.249540	0.192853	0.000000	0.004727	12	109051904	stable
41	0.731932	0.226280	0.202826	0.000000	0.005816	11	100663296	stable
42	0.726108	0.214520	0.205794	0.000000	0.006449	7	67108864	stable
43	0.721185	0.216110	0.202538	0.000000	0.004852	134	1132462080	stable
44	0.714729	0.205900	0.204415	0.000000	0.005353	77	654311424	stable
45	0.712001	0.223760	0.194121	0.000000	0.004706	28	243269632	stable
46	0.710977	0.184440	0.213268	0.000000	0.006531	125	1056964608	stable
47	0.710505	0.189370	0.210567	0.000000	0.006058	66	562036736	stable
48	0.698784	0.228040	0.185372	0.000000	0.004895	15	134217728	stable
49	0.698332	0.180790	0.208771	0.000000	0.005526	131	1107296256	stable
50	0.697094	0.192430	0.202332	0.000000	0.005527	58	494927872	stable
