zone	refs	IC_mean	PP_mean	CV_mean
0	323493	0.398435	0.265050	0.412986
1	16	0.250000	0.250000	0.600000
2	19	0.368400	0.157900	0.428600
3	23	0.347800	0.217400	0.500000
4	23	0.347800	0.173900	0.750000
5	15	0.400000	0.200000	0.714300
6	40	0.300000	0.225000	0.461500
7	5	0.000000	0.000000	0.000000
8	7	0.428600	0.428600	0.333300
9	29	0.551700	0.275900	0.352900
10	15	0.266700	0.266700	0.500000
11	688	0.194800	0.094500	0.680200
12	48	0.145800	0.104200	0.857100
13	20	0.200000	0.150000	0.666700
14	181	0.237600	0.221000	0.529400
15	117	0.085500	0.051300	1.000000
16	37	0.297300	0.189200	0.454500
17	109	0.211000	0.220200	0.481500
18	5	0.200000	0.200000	1.000000
19	5	0.600000	0.400000	0.666700
20	5	0.000000	0.000000	0.000000
21	7	0.142900	0.142900	1.000000
22	8	0.000000	0.000000	0.000000
23	5	0.400000	0.400000	0.500000
24	5	0.200000	0.200000	1.000000
25	40	0.100000	0.125000	0.833300
26	7	0.000000	0.000000	1.000000
27	18	0.055600	0.055600	1.000000
28	95	0.147400	0.136800	0.700000
29	33	0.242400	0.090900	0.625000
30	77	0.428600	0.402600	0.381000
31	38	0.131600	0.078900	1.000000
32	193	0.383400	0.352300	0.354200
33	71	0.197200	0.056300	0.785700
34	988	0.180200	0.134600	0.577300
35	900	0.164400	0.161100	0.510800
